Frequency,Sender,Receiver,Difference
0.1953125,3.14,3.14,0
0.390625,0.83,1.13,-0.3
0.5859375,-0.99,-0.82,0.17
0.78125,2.73,2.99,-0.26
0.9765625,1.27,1.34,-0.07
1.171875,-0.33,-0.32,0.01
1.3671875,-1.98,-1.93,0.05
1.5625,2.51,2.54,-0.03
1.7578125,0.86,0.88,-0.02
1.953125,-0.74,-0.74,0
2.1484375,-2.39,-2.39,0
2.34375,2.33,2.33,0
2.5390625,-0.13,-0.12,0.01
2.734375,3.02,3.02,0
2.9296875,0,0.01,-0.01
3.125,-1.88,-1.86,0.02
3.3203125,2.84,2.87,-0.03
3.515625,1.12,1.19,-0.07
3.7109375,-0.56,-0.5,0.06
3.90625,-2.25,-2.15,0.1
4.1015625,2.55,2.55,0
4.296875,0.8,0.87,-0.07
4.4921875,-0.95,-0.96,-0.01
4.6875,-2.63,-2.49,0.14
4.8828125,2.38,2.22,0.16
5.078125,1.49,1.42,0.07
5.2734375,-0.92,-0.93,-0.01
5.46875,-2.94,-2.92,0.02
5.6640625,1.63,1.61,0.02
5.859375,-0.15,-0.08,0.07
6.0546875,-1.64,-1.68,-0.04
6.25,2.96,2.97,-0.01
6.4453125,1.27,1.3,-0.03
6.640625,-0.32,-0.42,-0.1
6.8359375,-1.94,-2.07,-0.13
7.03125,2.6,2.58,0.02
7.2265625,1.03,0.86,0.17
7.421875,-0.55,-0.56,-0.01
7.6171875,-2.04,-2.2,-0.16
7.8125,2.05,2.04,0.01
8.0078125,0.59,0.59,0
8.203125,-1.14,-1.32,-0.18
8.3984375,-2.98,-2.89,0.09
8.59375,1.5,1.7,-0.2
8.7890625,-0.31,0.15,0.16
8.984375,-1.43,-1.66,-0.23
9.1796875,-3.03,2.8,0.23
9.375,1.02,1.5,-0.48
9.5703125,-0.52,-0.61,-0.09
9.765625,-1.6,-1.8,-0.2
9.9609375,3.1,2.72,0.38
10.15625,0.97,0.4,0.57
10.3515625,-1.03,-1.61,-0.58
10.546875,-2.37,-2.07,0.3
10.7421875,2.48,2.16,0.32
10.9375,0.47,0.49,-0.02
11.1328125,-1.44,-1.31,0.13
11.328125,2.74,3.07,-0.33
